,wk_date,total_specimens,total_flu,total_a,ah1.int,a2009h1n1.int,ah3.int,propa.h1,propa.2009h1n1,propa.h3,total_b,prop.pos,prop.b,prop.ah1,prop.ah3,prop.a2009
1,1/3/99,3524,331,255,0,0,255,0,0,1,76,0.093927355,0.021566402,0,0.072360953,0
2,1/10/99,3889,574,463,3.046052632,0,459.9539474,0.006578947,0,0.993421053,111,0.147595783,0.028542042,0.000783248,0.118270493,0
3,1/17/99,4262,865,712,3.670103093,0,708.3298969,0.005154639,0,0.994845361,153,0.202956359,0.035898639,0.000861122,0.166196597,0
4,1/24/99,5210,1150,881,3.950672646,0,877.0493274,0.004484305,0,0.995515695,269,0.220729367,0.051631478,0.000758286,0.168339602,0
5,1/31/99,6143,1678,1278,3.630681818,0,1274.369318,0.002840909,0,0.997159091,400,0.273156438,0.065114765,0.000591027,0.207450646,0
6,2/7/99,6574,1860,1453,9.109717868,0,1443.890282,0.006269592,0,0.993730408,407,0.282932765,0.061910557,0.001385719,0.21963649,0
7,2/14/99,6723,1715,1336,44.36900369,0,1291.630996,0.033210332,0,0.966789668,379,0.255094452,0.056373643,0.006599584,0.192121225,0
8,2/21/99,6616,1669,1303,5.19123506,0,1297.808765,0.003984064,0,0.996015936,366,0.252267231,0.055320435,0.000784649,0.196162147,0
9,2/28/99,5933,1387,1053,5.691891892,0,1047.308108,0.005405405,0,0.994594595,334,0.233777178,0.056295297,0.000959362,0.176522519,0
10,3/7/99,4289,883,667,9.597122302,0,657.4028777,0.014388489,0,0.985611511,216,0.205875495,0.05036139,0.002237613,0.153276493,0
11,3/14/99,4014,627,451,21.47619048,0,429.5238095,0.047619048,0,0.952380952,176,0.156203288,0.043846537,0.005350321,0.10700643,0
12,3/21/99,3242,464,343,4.341772152,0,338.6582278,0.012658228,0,0.987341772,121,0.14312153,0.03732264,0.001339226,0.104459663,0
13,3/28/99,2712,224,163,0,0,163,0,0,1,61,0.08259587,0.022492625,0,0.060103245,0
14,4/4/99,2222,176,138,4.928571429,0,133.0714286,0.035714286,0,0.964285714,38,0.079207921,0.01710171,0.002218079,0.059888132,0
15,4/11/99,1721,111,91,5.6875,0,85.3125,0.0625,0,0.9375,20,0.064497385,0.01162115,0.003304765,0.04957147,0
16,4/18/99,1368,36,28,0,0,28,0,0,1,8,0.026315789,0.005847953,0,0.020467836,0
17,4/25/99,1108,28,25,0,0,25,0,0,1,3,0.025270758,0.002707581,0,0.022563177,0
18,5/2/99,982,17,13,0,0,13,0,0,1,4,0.017311609,0.00407332,0,0.013238289,0
19,5/9/99,801,9,5,0,0,5,0,0,1,4,0.011235955,0.004993758,0,0.006242197,0
20,5/16/99,618,7,6,0,0,6,0,0,1,1,0.011326861,0.001618123,0,0.009708738,0
21,5/23/99,239,7,7,0,0,7,0,0,1,0,0.029288703,0,0,0.029288703,0
22,5/30/99,97,1,1,0,0,1,0,0,1,0,0.010309278,0,0,0.010309278,0
23,6/6/99,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,6/13/99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,6/20/99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,6/27/99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,7/4/99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,7/11/99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,7/18/99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,7/25/99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,8/1/99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,8/8/99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,8/15/99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34,8/22/99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,8/29/99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,9/5/99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,9/12/99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,9/19/99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,9/26/99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,10/3/99,1687,18,18,0,0,18,0,0,1,0,0.010669828,0,0,0.010669828,0
41,10/10/99,1883,20,19,0,0,19,0,0,1,1,0.010621349,0.000531067,0,0.010090281,0
42,10/17/99,2097,47,44,0,0,44,0,0,1,3,0.022412971,0.001430615,0,0.020982356,0
43,10/24/99,2162,57,57,0,0,57,0,0,1,0,0.026364477,0,0,0.026364477,0
44,10/31/99,2454,96,94,0,0,94,0,0,1,2,0.039119804,0.000814996,0,0.038304808,0
45,11/7/99,2576,148,148,0,0,148,0,0,1,0,0.057453416,0,0,0.057453416,0
46,11/14/99,2862,231,231,0,0,231,0,0,1,0,0.080712788,0,0,0.080712788,0
47,11/21/99,2709,286,285,0,0,285,0,0,1,1,0.105574013,0.00036914,0,0.105204873,0
48,11/28/99,3845,527,527,0,0,527,0,0,1,0,0.137061118,0,0,0.137061118,0
49,12/5/99,4422,845,844,8.837696335,0,835.1623037,0.010471204,0,0.989528796,1,0.191090005,0.000226142,0.001998574,0.188865288,0
50,12/12/99,5597,1306,1302,4.568421053,0,1297.431579,0.003508772,0,0.996491228,4,0.233339289,0.000714669,0.000816227,0.231808394,0
51,12/19/99,5575,1726,1725,10.05830904,0,1714.941691,0.005830904,0,0.994169096,1,0.309596413,0.000179372,0.001804181,0.307612859,0
52,12/26/99,7323,2151,2147,16.99472296,0,2130.005277,0.007915567,0,0.992084433,4,0.293732077,0.000546224,0.002320732,0.29086512,0
53,1/2/00,8423,2103,2102,11.06315789,0,2090.936842,0.005263158,0,0.994736842,1,0.249673513,0.000118723,0.001313446,0.248241344,0
54,1/9/00,7722,1645,1643,0,0,1643,0,0,1,2,0.213027713,0.000259,0,0.212768713,0
55,1/16/00,6242,1044,1041,6.848684211,0,1034.151316,0.006578947,0,0.993421053,3,0.167254085,0.000480615,0.001097194,0.165676276,0
56,1/23/00,5482,695,690,8.380566802,0,681.6194332,0.012145749,0,0.987854251,5,0.126778548,0.000912076,0.001528743,0.12433773,0
57,1/30/00,4550,485,484,29.69325153,0,454.3067485,0.061349693,0,0.938650307,1,0.106593407,0.00021978,0.006525989,0.099847637,0
58,2/6/00,4059,412,408,21.47368421,0,386.5263158,0.052631579,0,0.947368421,4,0.101502833,0.000985464,0.005290388,0.095226981,0
59,2/13/00,3523,263,257,32.53164557,0,224.4683544,0.126582278,0,0.873417722,6,0.074652285,0.001703094,0.009234075,0.063715116,0
60,2/20/00,3142,200,191,58.27118644,0,132.7288136,0.305084746,0,0.694915254,9,0.063653724,0.002864418,0.01854589,0.042243416,0
61,2/27/00,2698,100,95,24.42857143,0,70.57142857,0.257142857,0,0.742857143,5,0.037064492,0.001853225,0.009054326,0.026156942,0
62,3/5/00,2195,75,69,37.95,0,31.05,0.55,0,0.45,6,0.034168565,0.002733485,0.017289294,0.014145786,0
63,3/12/00,1960,53,48,35.07692308,0,12.92307692,0.730769231,0,0.269230769,5,0.027040816,0.00255102,0.017896389,0.006593407,0
64,3/19/00,1879,33,30,27.85714286,0,2.142857143,0.928571429,0,0.071428571,3,0.017562533,0.001596594,0.014825515,0.001140424,0
65,3/26/00,1708,21,18,12.6,0,5.4,0.7,0,0.3,3,0.012295082,0.00175644,0.007377049,0.003161593,0
66,4/2/00,1506,19,15,12.85714286,0,2.142857143,0.857142857,0,0.142857143,4,0.012616202,0.002656042,0.008537279,0.00142288,0
67,4/9/00,1294,22,17,17,0,0,1,0,0,5,0.017001546,0.003863988,0.013137558,0,0
68,4/16/00,1212,23,18,6.75,0,11.25,0.375,0,0.625,5,0.018976898,0.004125413,0.005569307,0.009282178,0
69,4/23/00,1108,16,12,12,0,0,1,0,0,4,0.014440433,0.003610108,0.010830325,0,0
70,4/30/00,1061,10,4,4,0,0,1,0,0,6,0.009425071,0.005655042,0.003770028,0,0
71,5/7/00,947,2,1,1,0,0,1,0,0,1,0.002111932,0.001055966,0.001055966,0,0
72,5/14/00,865,2,0,0,0,0,1,0,0,2,0.002312139,0.002312139,0,0,0
73,5/21/00,772,6,4,4,0,0,1,0,0,2,0.007772021,0.002590674,0.005181347,0,0
74,5/28/00,620,3,3,3,0,0,1,0,0,0,0.00483871,0,0.00483871,0,0
75,6/4/00,666,3,1,1,0,0,1,0,0,2,0.004504505,0.003003003,0.001501502,0,0
76,6/11/00,680,1,0,0,0,0,1,0,0,1,0.001470588,0.001470588,0,0,0
77,6/18/00,565,0,0,0,0,0,1,0,0,0,0,0,0,0,0
78,6/25/00,551,1,0,0,0,0,1,0,0,1,0.001814882,0.001814882,0,0,0
79,7/2/00,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0
80,7/9/00,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0
81,7/16/00,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0
82,7/23/00,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
83,7/30/00,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
84,8/6/00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,8/13/00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
86,8/20/00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
87,8/27/00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
88,9/3/00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
89,9/10/00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90,9/17/00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
91,9/24/00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
92,10/1/00,1387,1,0,0,0,0,1,0,0,1,0.000720981,0.000720981,0,0,0
93,10/8/00,1490,4,4,4,0,0,1,0,0,0,0.002684564,0,0.002684564,0,0
94,10/15/00,1691,4,2,2,0,0,1,0,0,2,0.002365464,0.001182732,0.001182732,0,0
95,10/22/00,1683,14,12,8.4,0,3.6,0.7,0,0.3,2,0.008318479,0.001188354,0.004991087,0.002139037,0
96,10/29/00,1964,16,13,11.81818182,0,1.181818182,0.909090909,0,0.090909091,3,0.00814664,0.001527495,0.006017404,0.00060174,0
97,11/5/00,1862,37,30,28.8,0,1.2,0.96,0,0.04,7,0.019871106,0.003759398,0.01546724,0.000644468,0
98,11/12/00,2183,43,30,28.33333333,0,1.666666667,0.944444444,0,0.055555556,13,0.019697664,0.005955108,0.012979081,0.000763475,0
99,11/19/00,2201,77,53,48.18181818,0,4.818181818,0.909090909,0,0.090909091,24,0.034984098,0.010904134,0.021890876,0.002189088,0
100,11/26/00,2505,98,62,60.0625,0,1.9375,0.96875,0,0.03125,36,0.039121756,0.014371257,0.023977046,0.000773453,0
101,12/3/00,2841,161,120,113.3333333,0,6.666666667,0.944444444,0,0.055555556,41,0.056670187,0.014431538,0.039892057,0.002346592,0
102,12/10/00,3275,226,171,162.984375,0,8.015625,0.953125,0,0.046875,55,0.069007634,0.016793893,0.049766221,0.002447519,0
103,12/17/00,3370,394,291,285.9827586,0,5.017241379,0.982758621,0,0.017241379,103,0.116913947,0.030563798,0.084861353,0.001488796,0
104,12/24/00,3310,459,327,327,0,0,1,0,0,132,0.138670695,0.039879154,0.098791541,0,0
105,12/31/00,3821,511,344,332.6842105,0,11.31578947,0.967105263,0,0.032894737,167,0.133734624,0.043705836,0.087067315,0.002961473,0
106,1/7/01,4563,812,537,524.0913462,0,12.90865385,0.975961538,0,0.024038462,275,0.177953101,0.060267368,0.114856749,0.002828984,0
107,1/14/01,5121,1132,759,753.1389961,0,5.861003861,0.992277992,0,0.007722008,373,0.221050576,0.072837336,0.147068736,0.001144504,0
108,1/21/01,5729,1330,841,826.5498282,0,14.45017182,0.982817869,0,0.017182131,489,0.232152208,0.08535521,0.144274713,0.002522285,0
109,1/28/01,5914,1238,714,711.2432432,0,2.756756757,0.996138996,0,0.003861004,524,0.209333784,0.088603314,0.120264329,0.000466141,0
110,2/4/01,5619,1067,480,472.3809524,0,7.619047619,0.984126984,0,0.015873016,587,0.18989144,0.104466987,0.084068509,0.001355944,0
111,2/11/01,4920,759,289,277.9904762,0,11.00952381,0.961904762,0,0.038095238,470,0.154268293,0.095528455,0.056502129,0.002237708,0
112,2/18/01,4571,637,200,187.3417722,0,12.65822785,0.936708861,0,0.063291139,437,0.139356815,0.095602713,0.040984855,0.002769247,0
113,2/25/01,4321,495,118,100.7916667,0,17.20833333,0.854166667,0,0.145833333,377,0.114556816,0.087248322,0.023326005,0.003982489,0
114,3/4/01,3793,273,76,73.94594595,0,2.054054054,0.972972973,0,0.027027027,197,0.07197469,0.05193778,0.019495372,0.000541538,0
115,3/11/01,3368,199,47,43.38461538,0,3.615384615,0.923076923,0,0.076923077,152,0.059085511,0.045130641,0.012881418,0.001073451,0
116,3/18/01,3132,181,28,18.66666667,0,9.333333333,0.666666667,0,0.333333333,153,0.057790549,0.048850575,0.005959983,0.002979991,0
117,3/25/01,2788,122,26,24.47058824,0,1.529411765,0.941176471,0,0.058823529,96,0.043758967,0.034433286,0.008777112,0.000548569,0
118,4/1/01,2386,78,10,10,0,0,1,0,0,68,0.032690696,0.028499581,0.004191115,0,0
119,4/8/01,2020,45,8,0,0,8,0,0,1,37,0.022277228,0.018316832,0,0.003960396,0
120,4/15/01,1825,47,3,3,0,0,1,0,0,44,0.025753425,0.024109589,0.001643836,0,0
121,4/22/01,1640,21,0,0,0,0,1,0,0,21,0.012804878,0.012804878,0,0,0
122,4/29/01,1528,9,1,1,0,0,1,0,0,8,0.005890052,0.005235602,0.00065445,0,0
123,5/6/01,1359,7,1,1,0,0,1,0,0,6,0.005150846,0.004415011,0.000735835,0,0
124,5/13/01,1317,9,0,0,0,0,1,0,0,9,0.006833713,0.006833713,0,0,0
125,5/20/01,1125,1,1,1,0,0,1,0,0,0,0.000888889,0,0.000888889,0,0
126,5/27/01,977,2,2,2,0,0,1,0,0,0,0.002047083,0,0.002047083,0,0
127,6/3/01,523,1,1,1,0,0,1,0,0,0,0.001912046,0,0.001912046,0,0
128,6/10/01,38,1,1,0.941176471,0,0.058823529,0.941176471,0,0.058823529,0,0.026315789,0,0.024767802,0.001547988,0
129,6/17/01,50,0,0,0,0,0,0.882352941,0,0.117647059,0,0,0,0,0,0
130,6/24/01,52,0,0,0,0,0,0.823529412,0,0.176470588,0,0,0,0,0,0
131,7/1/01,23,0,0,0,0,0,0.764705882,0,0.235294118,0,0,0,0,0,0
132,7/8/01,37,0,0,0,0,0,0.705882353,0,0.294117647,0,0,0,0,0,0
133,7/15/01,22,0,0,0,0,0,0.647058824,0,0.352941176,0,0,0,0,0,0
134,7/22/01,26,0,0,0,0,0,0.588235294,0,0.411764706,0,0,0,0,0,0
135,7/29/01,24,0,0,0,0,0,0.529411765,0,0.470588235,0,0,0,0,0,0
136,8/5/01,24,0,0,0,0,0,0.470588235,0,0.529411765,0,0,0,0,0,0
137,8/12/01,43,0,0,0,0,0,0.411764706,0,0.588235294,0,0,0,0,0,0
138,8/19/01,34,0,0,0,0,0,0.352941176,0,0.647058824,0,0,0,0,0,0
139,8/26/01,16,0,0,0,0,0,0.294117647,0,0.705882353,0,0,0,0,0,0
140,9/2/01,19,0,0,0,0,0,0.235294118,0,0.764705882,0,0,0,0,0,0
141,9/9/01,9,0,0,0,0,0,0.176470588,0,0.823529412,0,0,0,0,0,0
142,9/16/01,7,0,0,0,0,0,0.117647059,0,0.882352941,0,0,0,0,0,0
143,9/23/01,0,0,0,0,0,0,0.058823529,0,0.941176471,0,0,0,0,0,0
144,9/30/01,1154,8,7,0,0,7,0,0,1,1,0.006932409,0.000866551,0,0.006065858,0
145,10/7/01,1415,5,5,0,0,5,0,0,1,0,0.003533569,0,0,0.003533569,0
146,10/14/01,1468,8,8,0,0,8,0,0,1,0,0.005449591,0,0,0.005449591,0
147,10/21/01,1583,17,17,0,0,17,0,0,1,0,0.010739103,0,0,0.010739103,0
148,10/28/01,1704,13,13,1.857142857,0,11.14285714,0.142857143,0,0.857142857,0,0.007629108,0,0.001089873,0.006539235,0
149,11/4/01,1843,13,13,0,0,13,0,0,1,0,0.007053717,0,0,0.007053717,0
150,11/11/01,2096,46,45,0,0,45,0,0,1,1,0.021946565,0.000477099,0,0.021469466,0
151,11/18/01,2052,33,30,0,0,30,0,0,1,3,0.016081871,0.001461988,0,0.014619883,0
152,11/25/01,2401,74,73,0,0,73,0,0,1,1,0.030820491,0.000416493,0,0.030403998,0
153,12/2/01,2331,83,78,2.228571429,0,75.77142857,0.028571429,0,0.971428571,5,0.035607036,0.002145002,0.000956058,0.032505975,0
154,12/9/01,2434,112,110,5.365853659,0,104.6341463,0.048780488,0,0.951219512,2,0.04601479,0.000821693,0.002204541,0.042988556,0
155,12/16/01,2915,169,165,10.53191489,0,154.4680851,0.063829787,0,0.936170213,4,0.057975986,0.001372213,0.003613007,0.052990767,0
156,12/23/01,2621,220,219,0,0,219,0,0,1,1,0.083937428,0.000381534,0,0.083555895,0
157,12/30/01,3531,344,342,0,0,342,0,0,1,2,0.097422826,0.000566412,0,0.096856415,0
158,1/6/02,3900,540,534,0,0,534,0,0,1,6,0.138461538,0.001538462,0,0.136923077,0
159,1/13/02,4696,927,922,3.427509294,0,918.5724907,0.003717472,0,0.996282528,5,0.197402044,0.001064736,0.000729878,0.19560743,0
160,1/20/02,5816,1243,1231,12.59335038,0,1218.40665,0.010230179,0,0.989769821,12,0.21372077,0.002063274,0.002165294,0.209492202,0
161,1/27/02,6466,1474,1450,9.602649007,0,1440.397351,0.006622517,0,0.993377483,24,0.227961646,0.003711723,0.001485099,0.222764824,0
162,2/3/02,7191,1639,1620,15.70274637,0,1604.297254,0.009693053,0,0.990306947,19,0.227923794,0.002642192,0.002183667,0.223097935,0
163,2/10/02,7572,1807,1779,11.49596123,0,1767.504039,0.006462036,0,0.993537964,28,0.238642367,0.003697834,0.00151822,0.233426313,0
164,2/17/02,7358,1833,1765,35.36429872,0,1729.635701,0.02003643,0,0.97996357,68,0.249116608,0.009241642,0.004806238,0.235068728,0
165,2/24/02,6217,1425,1339,27.32653061,0,1311.673469,0.020408163,0,0.979591837,86,0.22921023,0.013833038,0.004395453,0.210981739,0
166,3/3/02,5368,1137,1001,25.85608856,0,975.1439114,0.025830258,0,0.974169742,136,0.21181073,0.02533532,0.004816708,0.181658702,0
167,3/10/02,4337,803,637,23.59259259,0,613.4074074,0.037037037,0,0.962962963,166,0.185151026,0.038275306,0.005439842,0.141435879,0
168,3/17/02,3763,569,359,6.838095238,0,352.1619048,0.019047619,0,0.980952381,210,0.151209142,0.055806537,0.001817192,0.093585412,0
169,3/24/02,3332,458,174,11.10638298,0,162.893617,0.063829787,0,0.936170213,284,0.137454982,0.085234094,0.003333248,0.04888764,0
170,3/31/02,2660,330,95,12.39130435,0,82.60869565,0.130434783,0,0.869565217,235,0.12406015,0.088345865,0.004658385,0.031055901,0
171,4/7/02,2329,253,61,11.61904762,0,49.38095238,0.19047619,0,0.80952381,192,0.108630313,0.082438815,0.004988857,0.021202642,0
172,4/14/02,2001,262,36,9,0,27,0.25,0,0.75,226,0.130934533,0.112943528,0.004497751,0.013493253,0
173,4/21/02,1820,156,18,1.8,0,16.2,0.1,0,0.9,138,0.085714286,0.075824176,0.000989011,0.008901099,0
174,4/28/02,1643,168,19,1.583333333,0,17.41666667,0.083333333,0,0.916666667,149,0.102251978,0.090687766,0.000963684,0.010600527,0
175,5/5/02,1655,145,5,5,0,0,1,0,0,140,0.087613293,0.084592145,0.003021148,0,0
176,5/12/02,1467,88,2,2,0,0,1,0,0,86,0.059986367,0.05862304,0.001363327,0,0
177,5/19/02,1302,64,3,2.833333333,0,0.166666667,0.944444444,0,0.055555556,61,0.049155146,0.046850998,0.002176139,0.000128008,0
178,5/26/02,995,36,2,1.777777778,0,0.222222222,0.888888889,0,0.111111111,34,0.036180905,0.034170854,0.001786711,0.000223339,0
179,6/2/02,948,26,1,0.833333333,0,0.166666667,0.833333333,0,0.166666667,25,0.02742616,0.026371308,0.000879044,0.000175809,0
180,6/9/02,850,7,0,0,0,0,0.777777778,0,0.222222222,7,0.008235294,0.008235294,0,0,0
181,6/16/02,692,2,0,0,0,0,0.722222222,0,0.277777778,2,0.002890173,0.002890173,0,0,0
182,6/23/02,700,4,0,0,0,0,0.666666667,0,0.333333333,4,0.005714286,0.005714286,0,0,0
183,6/30/02,490,2,0,0,0,0,0.611111111,0,0.388888889,2,0.004081633,0.004081633,0,0,0
184,7/7/02,591,1,0,0,0,0,0.555555556,0,0.444444444,1,0.001692047,0.001692047,0,0,0
185,7/14/02,578,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0
186,7/21/02,601,2,1,0.444444444,0,0.555555556,0.444444444,0,0.555555556,1,0.003327787,0.001663894,0.000739508,0.000924385,0
187,7/28/02,530,0,0,0,0,0,0.388888889,0,0.611111111,0,0,0,0,0,0
188,8/4/02,566,0,0,0,0,0,0.333333333,0,0.666666667,0,0,0,0,0,0
189,8/11/02,516,0,0,0,0,0,0.277777778,0,0.722222222,0,0,0,0,0,0
190,8/18/02,533,0,0,0,0,0,0.222222222,0,0.777777778,0,0,0,0,0,0
191,8/25/02,588,1,0,0,0,0,0.166666667,0,0.833333333,1,0.00170068,0.00170068,0,0,0
192,9/1/02,482,0,0,0,0,0,0.111111111,0,0.888888889,0,0,0,0,0,0
193,9/8/02,561,0,0,0,0,0,0.055555556,0,0.944444444,0,0,0,0,0,0
194,9/15/02,475,3,2,0,0,2,0,0,1,1,0.006315789,0.002105263,0,0.004210526,0
195,9/22/02,391,2,0,0,0,0,0.333333333,0,0.666666667,2,0.00511509,0.00511509,0,0,0
196,9/29/02,1443,0,0,0,0,0,0.666666667,0,0.333333333,0,0,0,0,0,0
197,10/6/02,1517,3,2,2,0,0,1,0,0,1,0.001977587,0.000659196,0.001318392,0,0
198,10/13/02,1590,0,0,0,0,0,1,0,0,0,0,0,0,0,0
199,10/20/02,1774,6,5,5,0,0,1,0,0,1,0.003382187,0.000563698,0.002818489,0,0
200,10/27/02,1636,6,3,1.5,0,1.5,0.5,0,0.5,3,0.003667482,0.001833741,0.00091687,0.00091687,0
201,11/3/02,1988,5,2,0,0,2,0,0,1,3,0.002515091,0.001509054,0,0.001006036,0
202,11/10/02,2107,10,6,3,0,3,0.5,0,0.5,4,0.004746084,0.001898434,0.001423825,0.001423825,0
203,11/17/02,2091,22,6,6,0,0,1,0,0,16,0.010521282,0.007651841,0.00286944,0,0
204,11/24/02,1900,15,9,2.25,0,6.75,0.25,0,0.75,6,0.007894737,0.003157895,0.001184211,0.003552632,0
205,12/1/02,2414,40,12,6.857142857,0,5.142857143,0.571428571,0,0.428571429,28,0.016570008,0.011599006,0.002840573,0.00213043,0
206,12/8/02,2493,97,24,19.2,0,4.8,0.8,0,0.2,73,0.038908945,0.02928199,0.007701564,0.001925391,0
207,12/15/02,2910,191,45,38.25,0,6.75,0.85,0,0.15,146,0.065635739,0.050171821,0.01314433,0.002319588,0
208,12/22/02,2368,160,41,30.30434783,0,10.69565217,0.739130435,0,0.260869565,119,0.067567568,0.050253378,0.012797444,0.004516745,0
209,12/29/02,2632,148,66,50.91428571,0,15.08571429,0.771428571,0,0.228571429,82,0.056231003,0.031155015,0.019344333,0.005731654,0
210,1/5/03,2828,249,115,83.33333333,0,31.66666667,0.724637681,0,0.275362319,134,0.088048091,0.04738331,0.029467232,0.011197548,0
211,1/12/03,3108,357,155,133.4177215,0,21.58227848,0.860759494,0,0.139240506,202,0.114864865,0.064993565,0.042927195,0.006944105,0
212,1/19/03,3352,547,271,220.5813953,0,50.41860465,0.813953488,0,0.186046512,276,0.163186158,0.082338902,0.065805906,0.01504135,0
213,1/26/03,4166,854,441,337.579646,0,103.420354,0.765486726,0,0.234513274,413,0.204992799,0.099135862,0.08103208,0.024824857,0
214,2/2/03,4874,1285,687,539.9239437,0,147.0760563,0.785915493,0,0.214084507,598,0.263643824,0.122691834,0.110776353,0.030175637,0
215,2/9/03,4676,1184,667,458.5625,0,208.4375,0.6875,0,0.3125,517,0.25320787,0.110564585,0.098067258,0.044576027,0
216,2/16/03,4416,996,628,419.2189974,0,208.7810026,0.667546174,0,0.332453826,368,0.225543478,0.083333333,0.094931838,0.047278307,0
217,2/23/03,4348,966,609,445.412234,0,163.587766,0.731382979,0,0.268617021,357,0.222171113,0.082106716,0.102440716,0.037623681,0
218,3/2/03,3633,679,465,323.548951,0,141.451049,0.695804196,0,0.304195804,214,0.186897881,0.058904487,0.089058341,0.038935053,0
219,3/9/03,3422,586,411,303.4810127,0,107.5189873,0.738396624,0,0.261603376,175,0.171244886,0.051139684,0.088685275,0.031419926,0
220,3/16/03,3435,503,379,260.3699187,0,118.6300813,0.68699187,0,0.31300813,124,0.14643377,0.036098981,0.075799103,0.034535686,0
221,3/23/03,2820,281,210,158.8235294,0,51.17647059,0.756302521,0,0.243697479,71,0.09964539,0.025177305,0.056320401,0.018147685,0
222,3/30/03,2352,201,160,88.88888889,0,71.11111111,0.555555556,0,0.444444444,41,0.085459184,0.017431973,0.037792895,0.030234316,0
223,4/6/03,2131,110,94,48,0,46,0.510638298,0,0.489361702,16,0.051618958,0.007508212,0.022524636,0.02158611,0
224,4/13/03,1777,89,66,26,0,40,0.393939394,0,0.606060606,23,0.050084412,0.012943163,0.014631401,0.022509848,0
225,4/20/03,1406,58,47,14.5862069,0,32.4137931,0.310344828,0,0.689655172,11,0.041251778,0.007823613,0.010374258,0.023053907,0
226,4/27/03,1222,68,48,24,0,24,0.5,0,0.5,20,0.055646481,0.016366612,0.019639935,0.019639935,0
227,5/4/03,1121,28,18,8.307692308,0,9.692307692,0.461538462,0,0.538461538,10,0.024977698,0.008920607,0.007410965,0.008646126,0
228,5/11/03,931,19,13,9.1,0,3.9,0.7,0,0.3,6,0.020408163,0.006444683,0.009774436,0.004189044,0
229,5/18/03,872,16,9,3.375,0,5.625,0.375,0,0.625,7,0.018348624,0.008027523,0.003870413,0.006450688,0
230,5/25/03,705,6,2,0,0,2,0,0,1,4,0.008510638,0.005673759,0,0.002836879,0
231,6/1/03,721,13,5,5,0,0,1,0,0,8,0.018030513,0.0110957,0.006934813,0,0
232,6/8/03,683,7,3,0,0,3,0,0,1,4,0.010248902,0.005856515,0,0.004392387,0
233,6/15/03,551,4,2,0,0,2,0,0,1,2,0.007259528,0.003629764,0,0.003629764,0
234,6/22/03,439,2,2,1,0,1,0.5,0,0.5,0,0.004555809,0,0.002277904,0.002277904,0
235,6/29/03,643,1,1,0,0,1,0,0,1,0,0.00155521,0,0,0.00155521,0
236,7/6/03,632,3,3,0,0,3,0,0,1,0,0.004746835,0,0,0.004746835,0
237,7/13/03,697,4,4,0,0,4,0,0,1,0,0.005738881,0,0,0.005738881,0
238,7/20/03,636,4,4,0,0,4,0,0,1,0,0.006289308,0,0,0.006289308,0
239,7/27/03,632,8,7,0,0,7,0,0,1,1,0.012658228,0.001582278,0,0.011075949,0
240,8/3/03,632,2,2,0,0,2,0,0,1,0,0.003164557,0,0,0.003164557,0
241,8/10/03,761,3,3,0,0,3,0,0,1,0,0.003942181,0,0,0.003942181,0
242,8/17/03,649,0,0,0,0,0,0,0,1,0,0,0,0,0,0
243,8/24/03,672,0,0,0,0,0,0,0,1,0,0,0,0,0,0
244,8/31/03,512,2,2,0,0,2,0,0,1,0,0.00390625,0,0,0.00390625,0
245,9/7/03,604,1,1,0,0,1,0,0,1,0,0.001655629,0,0,0.001655629,0
246,9/14/03,535,2,2,0,0,2,0,0,1,0,0.003738318,0,0,0.003738318,0
247,9/21/03,414,0,0,0,0,0,0,0,1,0,0,0,0,0,0
